Node Number	Equivalent Elastic Strain (mm/mm)
321	2,4741e-003
322	2,4735e-003
323	2,4735e-003
324	2,4741e-003
325	2,802e-003
326	2,8001e-003
327	2,8001e-003
328	2,802e-003
329	2,8644e-003
330	2,8622e-003
331	2,8622e-003
332	2,8644e-003
333	2,8119e-003
334	2,81e-003
335	2,81e-003
336	2,8119e-003
337	3,0028e-003
338	2,9999e-003
339	2,9999e-003
340	3,0028e-003
341	2,9072e-003
342	2,9048e-003
343	2,9048e-003
344	2,9072e-003
345	2,9222e-003
346	2,9197e-003
347	2,9197e-003
348	2,9222e-003
349	2,7129e-003
350	2,7114e-003
351	2,7114e-003
352	2,7129e-003
353	2,7634e-003
354	2,7617e-003
355	2,7617e-003
356	2,7634e-003
357	2,5926e-003
358	2,5915e-003
359	2,5915e-003
360	2,5926e-003
361	2,6853e-003
362	2,6839e-003
363	2,6839e-003
364	2,6853e-003
365	2,7482e-003
366	2,7465e-003
367	2,7465e-003
368	2,7482e-003
369	2,5475e-003
370	2,5467e-003
371	2,5467e-003
372	2,5475e-003
373	2,6171e-003
374	2,616e-003
375	2,616e-003
376	2,6171e-003
377	2,4117e-003
378	2,4113e-003
379	2,4113e-003
380	2,4117e-003
381	2,4799e-003
382	2,4793e-003
383	2,4793e-003
384	2,4799e-003
385	2,6166e-003
386	2,6154e-003
387	2,6154e-003
388	2,6166e-003
389	2,5452e-003
390	2,5443e-003
391	2,5443e-003
392	2,5452e-003
393	2,7517e-003
394	2,75e-003
395	2,75e-003
396	2,7517e-003
397	2,6856e-003
398	2,6842e-003
399	2,6842e-003
400	2,6856e-003
401	2,6606e-003
402	2,6593e-003
403	2,6593e-003
404	2,6606e-003
405	2,5997e-003
406	2,5987e-003
407	2,5987e-003
408	2,5997e-003
409	2,7778e-003
410	2,776e-003
411	2,776e-003
412	2,7778e-003
413	2,7211e-003
414	2,7195e-003
415	2,7195e-003
416	2,7211e-003
417	2,8707e-003
418	2,8685e-003
419	2,8685e-003
420	2,8707e-003
421	2,8279e-003
422	2,8259e-003
423	2,8259e-003
424	2,8279e-003
425	2,931e-003
426	2,9284e-003
427	2,9284e-003
428	2,931e-003
429	2,9725e-003
430	2,9697e-003
431	2,9697e-003
432	2,9725e-003
433	2,8813e-003
434	2,8791e-003
435	2,8791e-003
436	2,8813e-003
437	2,8696e-003
438	2,8674e-003
439	2,8674e-003
440	2,8696e-003
441	2,8167e-003
442	2,8147e-003
443	2,8147e-003
444	2,8167e-003
445	2,8777e-003
446	2,8754e-003
447	2,8754e-003
448	2,8777e-003
449	2,8212e-003
450	2,8192e-003
451	2,8192e-003
452	2,8212e-003
453	2,9033e-003
454	2,9008e-003
455	2,9008e-003
456	2,9033e-003
457	2,9581e-003
458	2,9554e-003
459	2,9554e-003
460	2,9581e-003
461	2,3611e-003
462	2,361e-003
463	2,361e-003
464	2,3611e-003
465	2,9435e-003
466	2,9409e-003
467	2,9409e-003
468	2,9435e-003
469	3,0678e-003
470	3,0645e-003
471	3,0645e-003
472	3,0678e-003
473	3,0234e-003
474	3,0204e-003
475	3,0204e-003
476	3,0234e-003
477	2,5242e-003
478	2,5234e-003
479	2,5234e-003
480	2,5242e-003
481	2,5537e-003
482	2,5528e-003
483	2,5528e-003
484	2,5537e-003
485	2,9069e-003
486	2,9044e-003
487	2,9044e-003
488	2,9069e-003
