Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1099	-9,1431	22,504	-0,11647	18,212
1099	-9,1431	22,504	-0,11647	18,212
1100	-8,6577	23,432	-0,11647	18,824
1100	-8,6577	23,432	-0,11647	18,824
1101	-7,6933	25,281	-0,11647	20,25
1101	-7,6933	25,281	-0,11647	20,25
1102	-7,2221	26,203	-0,11647	21,06
1102	-7,2221	26,203	-0,11647	21,06
1103	-6,7661	27,12	-0,11647	21,936
1103	-6,7661	27,12	-0,11647	21,936
1104	-5,8891	28,959	-0,11647	23,89
1104	-5,8891	28,959	-0,11647	23,89
1105	4,8658	30,519	-0,11647	25,85
1105	4,8658	30,519	-0,11647	25,85
1106	5,2667	29,602	-0,11647	24,734
1106	5,2667	29,602	-0,11647	24,734
1107	5,7011	28,712	-0,11647	23,683
1107	5,7011	28,712	-0,11647	23,683
1108	6,654	26,906	-0,11647	21,756
1108	6,654	26,906	-0,11647	21,756
1109	7,6446	25,075	-0,11647	20,088
1109	7,6446	25,075	-0,11647	20,088
1110	8,1498	24,152	-0,11647	19,35
1110	8,1498	24,152	-0,11647	19,35
1111	8,655	23,228	-0,11647	18,683
1111	8,655	23,228	-0,11647	18,683
1112	9,1548	22,308	-0,11647	18,088
1112	9,1548	22,308	-0,11647	18,088
1113	9,6556	21,379	-0,11647	17,566
1113	9,6556	21,379	-0,11647	17,566
1114	10,665	19,542	-0,11647	16,76
1114	10,665	19,542	-0,11647	16,76
1115	11,163	18,636	-0,11647	16,482
1115	11,163	18,636	-0,11647	16,482
1116	11,655	17,74	-0,11647	16,292
1116	11,655	17,74	-0,11647	16,292
1117	12,645	15,951	-0,11647	16,179
1117	12,645	15,951	-0,11647	16,179
1118	13,626	14,215	-0,11647	16,448
1118	13,626	14,215	-0,11647	16,448
1119	14,122	13,358	-0,11647	16,732
1119	14,122	13,358	-0,11647	16,732
1120	14,616	12,499	-0,11647	17,123
1120	14,616	12,499	-0,11647	17,123
1121	15,104	11,642	-0,11647	17,63
1121	15,104	11,642	-0,11647	17,63
1122	15,588	10,789	-0,11647	18,246
1122	15,588	10,789	-0,11647	18,246
1123	16,026	9,9615	-0,11647	18,964
1123	16,026	9,9615	-0,11647	18,964
1124	7,9921	-7,5785	-0,11647	13,949
1124	7,9921	-7,5785	-0,11647	13,949
1125	9,0402	-7,7666	-0,11647	14,449
1125	9,0402	-7,7666	-0,11647	14,449
1126	13,723	7,5672	-0,11647	17,828
1126	13,723	7,5672	-0,11647	17,828
1127	12,677	7,4817	-0,11647	16,921
1127	12,677	7,4817	-0,11647	16,921
1128	-1,6536	-7,9967	-0,11647	12,275
1128	-1,6536	-7,9967	-0,11647	12,275
1129	6,8022	-8,2016	-0,11647	13,424
1129	6,8022	-8,2016	-0,11647	13,424
1130	4,9651	-8,8932	-0,11647	12,75
1130	4,9651	-8,8932	-0,11647	12,75
1131	-3,6237	-8,4908	-0,11647	12,479
1131	-3,6237	-8,4908	-0,11647	12,479
1132	-0,36989	-7,8968	-0,11647	12,229
1132	-0,36989	-7,8968	-0,11647	12,229
1133	15,738	-10,681	-0,11647	18,555
1133	15,738	-10,681	-0,11647	18,555
1134	3,1334	-32,67	-0,11647	32,753
1134	3,1334	-32,67	-0,11647	32,753
1135	-3,4365	31,889	-0,11647	27,844
1135	-3,4365	31,889	-0,11647	27,844
1136	1,6268	7,4961	-0,11647	12,304
1136	1,6268	7,4961	-0,11647	12,304
1137	5,2805	31,99	-0,11647	27,557
1137	5,2805	31,99	-0,11647	27,557
1138	10,152	8,3817	-0,11647	14,93
1138	10,152	8,3817	-0,11647	14,93
1139	-2,2515	32,04	-0,11647	28,156
1139	-2,2515	32,04	-0,11647	28,156
1140	-4,1411	-31,943	-0,11647	30,422
1140	-4,1411	-31,943	-0,11647	30,422
1141	-2,8848	-32,267	-0,11647	32,141
1141	-2,8848	-32,267	-0,11647	32,141
1142	8,5779	9,2151	-0,11647	13,941
1142	8,5779	9,2151	-0,11647	13,941
1143	2,7205	7,554	-0,11647	12,401
1143	2,7205	7,554	-0,11647	12,401
1144	-5,461	8,9866	-0,11647	12,791
1144	-5,461	8,9866	-0,11647	12,791
1145	-16,369	9,1048	-0,11647	19,756
1145	-16,369	9,1048	-0,11647	19,756
1146	-16,813	10,341	-0,11647	19,468
1146	-16,813	10,341	-0,11647	19,468
1147	-16,472	-10,474	-0,11647	19,29
1147	-16,472	-10,474	-0,11647	19,29
1148	-14,89	7,5704	-0,11647	19,002
1148	-14,89	7,5704	-0,11647	19,002
1149	1,2659	32,076	-0,11647	28,244
1149	1,2659	32,076	-0,11647	28,244
1150	-1,6421	-32,518	-0,11647	33,525
1150	-1,6421	-32,518	-0,11647	33,525
1151	13,331	-5,6999	-0,11647	18,295
1151	13,331	-5,6999	-0,11647	18,295
1152	14,7	-7,745	-0,11647	18,913
1152	14,7	-7,745	-0,11647	18,913
1153	-7,2268	8,3184	-0,11647	13,465
1153	-7,2268	8,3184	-0,11647	13,465
1154	0,76942	-32,767	-0,11647	34,477
1154	0,76942	-32,767	-0,11647	34,477
1155	-14,534	-6,8862	-0,11647	19,096
1155	-14,534	-6,8862	-0,11647	19,096
1156	-14,356	6,4068	-0,11647	18,934
1156	-14,356	6,4068	-0,11647	18,934
1157	0,11232	32,145	-0,11647	28,339
1157	0,11232	32,145	-0,11647	28,339
1158	-0,41855	-32,691	-0,11647	34,331
1158	-0,41855	-32,691	-0,11647	34,331
1159	-9,0161	7,5168	-0,11647	14,413
1159	-9,0161	7,5168	-0,11647	14,413
1160	4,6236	9,7672	-0,11647	12,512
1160	4,6236	9,7672	-0,11647	12,512
1161	-5,2608	-9,4384	-0,11647	12,777
1161	-5,2608	-9,4384	-0,11647	12,777
1162	-4,4094	-8,9822	-0,11647	12,592
1162	-4,4094	-8,9822	-0,11647	12,592
1163	0,35342	-8,4905	-0,11647	12,15
1163	0,35342	-8,4905	-0,11647	12,15
1164	1,0803	-9,1098	-0,11647	12,112
1164	1,0803	-9,1098	-0,11647	12,112
1165	-0,4618	8,2846	-0,11647	12,121
1165	-0,4618	8,2846	-0,11647	12,121
1166	-1,2787	9,0011	-0,11647	12,072
1166	-1,2787	9,0011	-0,11647	12,072
1167	-5,9169	-30,653	-0,11647	26,902
1167	-5,9169	-30,653	-0,11647	26,902
1168	-6,4074	-29,715	-0,11647	25,412
1168	-6,4074	-29,715	-0,11647	25,412
1169	-6,8935	-28,777	-0,11647	24,096
1169	-6,8935	-28,777	-0,11647	24,096
1170	-7,4052	-27,838	-0,11647	22,913
1170	-7,4052	-27,838	-0,11647	22,913
1171	-7,9083	-26,905	-0,11647	21,862
1171	-7,9083	-26,905	-0,11647	21,862
1172	-8,4182	-25,973	-0,11647	20,92
1172	-8,4182	-25,973	-0,11647	20,92
1173	-8,9257	-25,029	-0,11647	20,079
1173	-8,9257	-25,029	-0,11647	20,079
1174	-9,9598	-23,163	-0,11647	18,681
1174	-9,9598	-23,163	-0,11647	18,681
1175	-10,468	-22,237	-0,11647	18,123
1175	-10,468	-22,237	-0,11647	18,123
1176	-10,966	-21,325	-0,11647	17,654
1176	-10,966	-21,325	-0,11647	17,654
1177	-11,477	-20,407	-0,11647	17,269
1177	-11,477	-20,407	-0,11647	17,269
1178	-11,982	-19,484	-0,11647	16,973
1178	-11,982	-19,484	-0,11647	16,973
1179	-12,982	-17,67	-0,11647	16,655
1179	-12,982	-17,67	-0,11647	16,655
1180	-13,478	-16,766	-0,11647	16,638
1180	-13,478	-16,766	-0,11647	16,638
1181	-13,971	-15,876	-0,11647	16,719
1181	-13,971	-15,876	-0,11647	16,719
1182	-14,957	-14,096	-0,11647	17,191
1182	-14,957	-14,096	-0,11647	17,191
1183	-15,865	-12,325	-0,11647	18,066
1183	-15,865	-12,325	-0,11647	18,066
1184	-16,221	-11,415	-0,11647	18,626
1184	-16,221	-11,415	-0,11647	18,626
1185	16,612	-11,053	-0,11647	19,099
1185	16,612	-11,053	-0,11647	19,099
1186	16,174	-11,869	-0,11647	18,438
1186	16,174	-11,869	-0,11647	18,438
1187	15,226	-13,53	-0,11647	17,411
1187	15,226	-13,53	-0,11647	17,411
1188	14,752	-14,395	-0,11647	17,056
1188	14,752	-14,395	-0,11647	17,056
1189	14,272	-15,279	-0,11647	16,806
1189	14,272	-15,279	-0,11647	16,806
1190	13,776	-16,183	-0,11647	16,66
1190	13,776	-16,183	-0,11647	16,66
1191	12,771	-18,035	-0,11647	16,678
1191	12,771	-18,035	-0,11647	16,678
1192	12,262	-18,983	-0,11647	16,838
1192	12,262	-18,983	-0,11647	16,838
1193	11,758	-19,929	-0,11647	17,096
1193	11,758	-19,929	-0,11647	17,096
1194	10,744	-21,84	-0,11647	17,895
1194	10,744	-21,84	-0,11647	17,895
1195	9,7322	-23,745	-0,11647	19,051
1195	9,7322	-23,745	-0,11647	19,051
1196	9,2302	-24,697	-0,11647	19,762
1196	9,2302	-24,697	-0,11647	19,762
1197	8,7386	-25,64	-0,11647	20,56
1197	8,7386	-25,64	-0,11647	20,56
1198	8,2445	-26,587	-0,11647	21,457
1198	8,2445	-26,587	-0,11647	21,457
1199	7,7566	-27,534	-0,11647	22,456
1199	7,7566	-27,534	-0,11647	22,456
1200	7,2785	-28,474	-0,11647	23,562
1200	7,2785	-28,474	-0,11647	23,562
1201	6,8124	-29,411	-0,11647	24,793
1201	6,8124	-29,411	-0,11647	24,793
1202	6,3593	-30,351	-0,11647	26,165
1202	6,3593	-30,351	-0,11647	26,165
1203	-16,351	11,215	-0,11647	18,664
1203	-16,351	11,215	-0,11647	18,664
1204	-15,396	12,96	-0,11647	17,482
1204	-15,396	12,96	-0,11647	17,482
1205	-14,914	13,835	-0,11647	17,081
1205	-14,914	13,835	-0,11647	17,081
1206	-14,429	14,714	-0,11647	16,79
1206	-14,429	14,714	-0,11647	16,79
1207	-13,457	16,527	-0,11647	16,524
1207	-13,457	16,527	-0,11647	16,524
1208	-12,967	17,443	-0,11647	16,541
1208	-12,967	17,443	-0,11647	16,541
1209	-12,479	18,357	-0,11647	16,652
1209	-12,479	18,357	-0,11647	16,652
1210	-11,982	19,27	-0,11647	16,853
1210	-11,982	19,27	-0,11647	16,853
1211	-11,49	20,204	-0,11647	17,142
1211	-11,49	20,204	-0,11647	17,142
1212	-10,987	21,137	-0,11647	17,517
1212	-10,987	21,137	-0,11647	17,517
1213	-10,495	22,074	-0,11647	17,972
1213	-10,495	22,074	-0,11647	17,972
1214	-10,	23,01	-0,11647	18,507
1214	-10,	23,01	-0,11647	18,507
1215	-9,5003	23,952	-0,11647	19,12
1215	-9,5003	23,952	-0,11647	19,12
1216	-8,5334	25,818	-0,11647	20,553
1216	-8,5334	25,818	-0,11647	20,553
1217	-8,054	26,749	-0,11647	21,374
1217	-8,054	26,749	-0,11647	21,374
1218	-7,5895	27,674	-0,11647	22,266
1218	-7,5895	27,674	-0,11647	22,266
1219	-7,1357	28,604	-0,11647	23,233
1219	-7,1357	28,604	-0,11647	23,233
1220	-6,6944	29,532	-0,11647	24,277
1220	-6,6944	29,532	-0,11647	24,277
1221	5,6841	31,083	-0,11647	26,303
1221	5,6841	31,083	-0,11647	26,303
1222	6,1163	30,171	-0,11647	25,13
1222	6,1163	30,171	-0,11647	25,13
1223	6,5626	29,266	-0,11647	24,045
1223	6,5626	29,266	-0,11647	24,045
1224	7,5102	27,451	-0,11647	22,084
1224	7,5102	27,451	-0,11647	22,084
1225	8,0088	26,529	-0,11647	21,203
1225	8,0088	26,529	-0,11647	21,203
1226	8,5091	25,609	-0,11647	20,393
1226	8,5091	25,609	-0,11647	20,393
1227	9,0112	24,677	-0,11647	19,653
1227	9,0112	24,677	-0,11647	19,653
1228	9,5197	23,749	-0,11647	18,984
1228	9,5197	23,749	-0,11647	18,984
1229	10,021	22,822	-0,11647	18,392
1229	10,021	22,822	-0,11647	18,392
1230	10,525	21,89	-0,11647	17,874
1230	10,525	21,89	-0,11647	17,874
1231	11,54	20,043	-0,11647	17,081
1231	11,54	20,043	-0,11647	17,081
1232	12,041	19,131	-0,11647	16,81
1232	12,041	19,131	-0,11647	16,81
1233	12,532	18,23	-0,11647	16,626
1233	12,532	18,23	-0,11647	16,626
1234	13,031	17,328	-0,11647	16,532
1234	13,031	17,328	-0,11647	16,532
1235	13,53	16,426	-0,11647	16,531
1235	13,53	16,426	-0,11647	16,531
1236	14,513	14,661	-0,11647	16,824
1236	14,513	14,661	-0,11647	16,824
1237	15,01	13,788	-0,11647	17,128
1237	15,01	13,788	-0,11647	17,128
1238	15,509	12,919	-0,11647	17,548
1238	15,509	12,919	-0,11647	17,548
1239	16,005	12,051	-0,11647	18,093
1239	16,005	12,051	-0,11647	18,093
1240	16,496	11,186	-0,11647	18,771
1240	16,496	11,186	-0,11647	18,771
1241	16,964	10,313	-0,11647	19,588
1241	16,964	10,313	-0,11647	19,588
1242	8,2401	-6,7864	-0,11647	14,201
1242	8,2401	-6,7864	-0,11647	14,201
1243	9,4499	-6,8495	-0,11647	14,834
1243	9,4499	-6,8495	-0,11647	14,834
1244	5,4792	-32,222	-0,11647	29,435
1244	5,4792	-32,222	-0,11647	29,435
1245	-4,122	32,488	-0,11647	28,54
1245	-4,122	32,488	-0,11647	28,54
1246	-6,7343	-8,96	-0,11647	13,287
1246	-6,7343	-8,96	-0,11647	13,287
1247	0,20075	-7,1436	-0,11647	12,344
1247	0,20075	-7,1436	-0,11647	12,344
1248	-3,4386	-7,2388	-0,11647	12,619
1248	-3,4386	-7,2388	-0,11647	12,619
1249	-2,8288	-6,6359	-0,11647	12,627
1249	-2,8288	-6,6359	-0,11647	12,627
1250	13,408	5,6325	-0,11647	18,203
1250	13,408	5,6325	-0,11647	18,203
1251	-1,4827	-6,0631	-0,11647	12,592
1251	-1,4827	-6,0631	-0,11647	12,592
1252	4,8457	32,894	-0,11647	28,929
1252	4,8457	32,894	-0,11647	28,929
1253	10,619	7,3165	-0,11647	15,409
1253	10,619	7,3165	-0,11647	15,409
1254	-2,9099	32,674	-0,11647	28,978
1254	-2,9099	32,674	-0,11647	28,978
1255	3,0231	32,597	-0,11647	28,861
1255	3,0231	32,597	-0,11647	28,861
1256	7,6037	8,818	-0,11647	13,542
1256	7,6037	8,818	-0,11647	13,542
1257	3,4779	8,0404	-0,11647	12,445
1257	3,4779	8,0404	-0,11647	12,445
1258	-8,2472	-8,3783	-0,11647	13,982
1258	-8,2472	-8,3783	-0,11647	13,982
1259	-4,431	8,5677	-0,11647	12,571
1259	-4,431	8,5677	-0,11647	12,571
1260	-17,272	9,4728	-0,11647	20,429
1260	-17,272	9,4728	-0,11647	20,429
1261	-17,719	10,742	-0,11647	19,961
1261	-17,719	10,742	-0,11647	19,961
1262	-10,771	6,6205	-0,11647	15,647
1262	-10,771	6,6205	-0,11647	15,647
1263	-16,113	-8,2595	-0,11647	20,21
1263	-16,113	-8,2595	-0,11647	20,21
1264	-15,86	7,8997	-0,11647	19,895
1264	-15,86	7,8997	-0,11647	19,895
1265	1,8784	32,741	-0,11647	29,116
1265	1,8784	32,741	-0,11647	29,116
1266	13,757	-4,9213	-0,11647	18,979
1266	13,757	-4,9213	-0,11647	18,979
1267	13,757	4,7007	-0,11647	18,905
1267	13,757	4,7007	-0,11647	18,905
1268	9,1252	8,1826	-0,11647	14,359
1268	9,1252	8,1826	-0,11647	14,359
1269	2,3815	6,7602	-0,11647	12,497
1269	2,3815	6,7602	-0,11647	12,497
1270	14,036	3,7933	-0,11647	19,652
1270	14,036	3,7933	-0,11647	19,652
1271	-9,7851	-7,6806	-0,11647	14,921
1271	-9,7851	-7,6806	-0,11647	14,921
1272	-6,1322	8,0393	-0,11647	13,107
1272	-6,1322	8,0393	-0,11647	13,107
1273	-14,438	4,3148	-0,11647	20,037
1273	-14,438	4,3148	-0,11647	20,037
1274	1,3963	-33,479	-0,11647	36,087
1274	1,3963	-33,479	-0,11647	36,087
1275	-14,399	-5,0017	-0,11647	19,734
1275	-14,399	-5,0017	-0,11647	19,734
1276	-15,516	-7,0983	-0,11647	20,155
1276	-15,516	-7,0983	-0,11647	20,155
1277	-15,325	6,7286	-0,11647	19,902
1277	-15,325	6,7286	-0,11647	19,902
1278	-0,48616	32,847	-0,11647	29,265
1278	-0,48616	32,847	-0,11647	29,265
1279	0,70952	32,839	-0,11647	29,248
1279	0,70952	32,839	-0,11647	29,248
1280	-1,0556	-33,318	-0,11647	35,823
1280	-1,0556	-33,318	-0,11647	35,823
1281	14,338	-5,9258	-0,11647	19,282
1281	14,338	-5,9258	-0,11647	19,282
1282	15,075	6,8923	-0,11647	19,508
1282	15,075	6,8923	-0,11647	19,508
1283	14,395	5,8266	-0,11647	19,205
1283	14,395	5,8266	-0,11647	19,205
1284	12,45	5,4344	-0,11647	17,317
1284	12,45	5,4344	-0,11647	17,317
1285	-12,513	5,7955	-0,11647	17,192
1285	-12,513	5,7955	-0,11647	17,192
1286	-7,8813	7,3453	-0,11647	13,886
1286	-7,8813	7,3453	-0,11647	13,886
1287	-14,82	5,5595	-0,11647	19,892
1287	-14,82	5,5595	-0,11647	19,892
1288	0,1859	-33,452	-0,11647	36,378
1288	0,1859	-33,452	-0,11647	36,378
1289	17,398	9,4544	-0,11647	20,525
1289	17,398	9,4544	-0,11647	20,525
1290	17,245	-9,3822	-0,11647	20,694
1290	17,245	-9,3822	-0,11647	20,694
1291	16,76	8,2648	-0,11647	20,672
1291	16,76	8,2648	-0,11647	20,672
1292	4,5132	-33,904	-0,11647	33,53
1292	4,5132	-33,904	-0,11647	33,53
1293	12,807	-4,5963	-0,11647	18,236
1293	12,807	-4,5963	-0,11647	18,236
1294	-4,8285	33,085	-0,11647	29,212
1294	-4,8285	33,085	-0,11647	29,212
1295	5,2118	8,892	-0,11647	12,715
1295	5,2118	8,892	-0,11647	12,715
1296	4,3412	8,4737	-0,11647	12,544
1296	4,3412	8,4737	-0,11647	12,544
1297	-5,825	-8,5699	-0,11647	13,018
1297	-5,825	-8,5699	-0,11647	13,018
1298	-1,454e-002	5,3132	-0,11647	12,636
1298	-1,454e-002	5,3132	-0,11647	12,636
1299	0,97149	-7,6972	-0,11647	12,276
1299	0,97149	-7,6972	-0,11647	12,276
1300	1,7278	-8,2976	-0,11647	12,244
1300	1,7278	-8,2976	-0,11647	12,244
1301	-0,97341	-5,459	-0,11647	12,67
1301	-0,97341	-5,459	-0,11647	12,67
1302	-1,9245	8,2397	-0,11647	12,209
1302	-1,9245	8,2397	-0,11647	12,209
1303	-6,7235	-31,214	-0,11647	26,822
1303	-6,7235	-31,214	-0,11647	26,822
1304	-7,2295	-30,273	-0,11647	25,356
1304	-7,2295	-30,273	-0,11647	25,356
1305	-8,2491	-28,381	-0,11647	22,914
1305	-8,2491	-28,381	-0,11647	22,914
1306	-8,7639	-27,436	-0,11647	21,886
1306	-8,7639	-27,436	-0,11647	21,886
1307	-9,7991	-25,546	-0,11647	20,155
1307	-9,7991	-25,546	-0,11647	20,155
1308	-10,83	-23,674	-0,11647	18,81
1308	-10,83	-23,674	-0,11647	18,81
1309	-11,34	-22,743	-0,11647	18,274
1309	-11,34	-22,743	-0,11647	18,274
1310	-11,84	-21,83	-0,11647	17,825
1310	-11,84	-21,83	-0,11647	17,825
1311	-12,35	-20,903	-0,11647	17,459
1311	-12,35	-20,903	-0,11647	17,459
1312	-12,857	-19,976	-0,11647	17,179
1312	-12,857	-19,976	-0,11647	17,179
1313	-13,867	-18,145	-0,11647	16,892
1313	-13,867	-18,145	-0,11647	16,892
1314	-14,363	-17,24	-0,11647	16,89
1314	-14,363	-17,24	-0,11647	16,89
1315	-14,857	-16,346	-0,11647	16,985
1315	-14,857	-16,346	-0,11647	16,985
1316	-15,851	-14,556	-0,11647	17,496
1316	-15,851	-14,556	-0,11647	17,496
1317	-16,344	-13,661	-0,11647	17,935
1317	-16,344	-13,661	-0,11647	17,935
1318	-16,845	-12,771	-0,11647	18,471
1318	-16,845	-12,771	-0,11647	18,471
1319	-17,196	-11,82	-0,11647	19,12
1319	-17,196	-11,82	-0,11647	19,12
1320	17,532	-11,403	-0,11647	19,588
1320	17,532	-11,403	-0,11647	19,588
1321	17,087	-12,249	-0,11647	18,852
1321	17,087	-12,249	-0,11647	18,852
1322	16,616	-13,099	-0,11647	18,237
1322	16,616	-13,099	-0,11647	18,237
1323	16,134	-13,963	-0,11647	17,74
1323	16,134	-13,963	-0,11647	17,74
1324	15,648	-14,845	-0,11647	17,357
1324	15,648	-14,845	-0,11647	17,357
1325	15,159	-15,745	-0,11647	17,085
1325	15,159	-15,745	-0,11647	17,085
1326	14,657	-16,657	-0,11647	16,922
1326	14,657	-16,657	-0,11647	16,922
1327	14,151	-17,581	-0,11647	16,864
1327	14,151	-17,581	-0,11647	16,864
1328	13,647	-18,524	-0,11647	16,908
1328	13,647	-18,524	-0,11647	16,908
1329	12,626	-20,422	-0,11647	17,293
1329	12,626	-20,422	-0,11647	17,293
1330	11,612	-22,341	-0,11647	18,05
1330	11,612	-22,341	-0,11647	18,05
1331	10,598	-24,252	-0,11647	19,157
1331	10,598	-24,252	-0,11647	19,157
1332	10,089	-25,209	-0,11647	19,843
1332	10,089	-25,209	-0,11647	19,843
1333	9,5809	-26,168	-0,11647	20,62
1333	9,5809	-26,168	-0,11647	20,62
1334	9,0821	-27,122	-0,11647	21,489
1334	9,0821	-27,122	-0,11647	21,489
1335	7,6267	-29,967	-0,11647	24,731
1335	7,6267	-29,967	-0,11647	24,731
1336	7,1554	-30,924	-0,11647	26,081
1336	7,1554	-30,924	-0,11647	26,081
1337	-17,243	11,619	-0,11647	19,097
1337	-17,243	11,619	-0,11647	19,097
1338	-16,285	13,394	-0,11647	17,838
1338	-16,285	13,394	-0,11647	17,838
1339	-15,804	14,282	-0,11647	17,413
1339	-15,804	14,282	-0,11647	17,413
1340	-14,831	16,085	-0,11647	16,909
1340	-14,831	16,085	-0,11647	16,909
1341	-14,343	16,997	-0,11647	16,816
1341	-14,343	16,997	-0,11647	16,816
1342	-13,851	17,914	-0,11647	16,822
1342	-13,851	17,914	-0,11647	16,822
1343	-13,357	18,838	-0,11647	16,923
1343	-13,357	18,838	-0,11647	16,923
1344	-12,859	19,76	-0,11647	17,116
1344	-12,859	19,76	-0,11647	17,116
1345	-11,861	21,623	-0,11647	17,761
1345	-11,861	21,623	-0,11647	17,761
1346	-10,856	23,509	-0,11647	18,739
1346	-10,856	23,509	-0,11647	18,739
1347	-9,8631	25,409	-0,11647	20,031
1347	-9,8631	25,409	-0,11647	20,031
1348	-8,8891	27,283	-0,11647	21,617
1348	-8,8891	27,283	-0,11647	21,617
1349	-8,4099	28,222	-0,11647	22,523
1349	-8,4099	28,222	-0,11647	22,523
1350	-7,9422	29,159	-0,11647	23,513
1350	-7,9422	29,159	-0,11647	23,513
1351	-7,4821	30,102	-0,11647	24,593
1351	-7,4821	30,102	-0,11647	24,593
1352	-7,0207	31,046	-0,11647	25,774
1352	-7,0207	31,046	-0,11647	25,774
1353	-6,036	32,874	-0,11647	28,404
1353	-6,036	32,874	-0,11647	28,404
1354	6,0342	32,566	-0,11647	28,028
1354	6,0342	32,566	-0,11647	28,028
1355	6,4874	31,659	-0,11647	26,699
1355	6,4874	31,659	-0,11647	26,699
1356	6,944	30,74	-0,11647	25,473
1356	6,944	30,74	-0,11647	25,473
1357	7,4018	29,828	-0,11647	24,344
1357	7,4018	29,828	-0,11647	24,344
1358	7,8777	28,912	-0,11647	23,304
1358	7,8777	28,912	-0,11647	23,304
1359	8,8609	27,069	-0,11647	21,451
1359	8,8609	27,069	-0,11647	21,451
1360	9,3676	26,139	-0,11647	20,634
1360	9,3676	26,139	-0,11647	20,634
1361	9,8754	25,205	-0,11647	19,89
1361	9,8754	25,205	-0,11647	19,89
1362	10,893	23,327	-0,11647	18,63
1362	10,893	23,327	-0,11647	18,63
1363	11,399	22,392	-0,11647	18,119
1363	11,399	22,392	-0,11647	18,119
1364	11,912	21,456	-0,11647	17,686
1364	11,912	21,456	-0,11647	17,686
1365	12,911	19,633	-0,11647	17,077
1365	12,911	19,633	-0,11647	17,077
1366	13,908	17,804	-0,11647	16,813
1366	13,908	17,804	-0,11647	16,813
1367	14,412	16,898	-0,11647	16,821
1367	14,412	16,898	-0,11647	16,821
1368	14,911	15,996	-0,11647	16,926
1368	14,911	15,996	-0,11647	16,926
1369	15,896	14,224	-0,11647	17,457
1369	15,896	14,224	-0,11647	17,457
1370	16,396	13,339	-0,11647	17,901
1370	16,396	13,339	-0,11647	17,901
1371	16,899	12,455	-0,11647	18,48
1371	16,899	12,455	-0,11647	18,48
1372	17,901	10,692	-0,11647	20,122
1372	17,901	10,692	-0,11647	20,122
1373	11,066	6,2763	-0,11647	15,953
1373	11,066	6,2763	-0,11647	15,953
1374	-11,849	-5,6794	-0,11647	16,863
1374	-11,849	-5,6794	-0,11647	16,863
1375	6,2015	-32,858	-0,11647	29,422
1375	6,2015	-32,858	-0,11647	29,422
1376	-3,5971	33,29	-0,11647	29,796
1376	-3,5971	33,29	-0,11647	29,796
1377	3,6929	33,206	-0,11647	29,647
1377	3,6929	33,206	-0,11647	29,647
1378	-3,7473	-5,5284	-0,11647	12,928
1378	-3,7473	-5,5284	-0,11647	12,928
1379	6,6637	8,4012	-0,11647	13,223
1379	6,6637	8,4012	-0,11647	13,223
1380	-7,2777	-8,0396	-0,11647	13,604
1380	-7,2777	-8,0396	-0,11647	13,604
1381	-4,6778	-6,9163	-0,11647	12,921
1381	-4,6778	-6,9163	-0,11647	12,921
1382	0,71047	-6,3204	-0,11647	12,499
1382	0,71047	-6,3204	-0,11647	12,499
1383	-3,4764	8,0333	-0,11647	12,44
1383	-3,4764	8,0333	-0,11647	12,44
1384	-9,6558	6,497	-0,11647	14,961
1384	-9,6558	6,497	-0,11647	14,961
1385	-17,546	-9,7913	-0,11647	20,803
1385	-17,546	-9,7913	-0,11647	20,803
1386	-16,988	-8,5528	-0,11647	21,053
1386	-16,988	-8,5528	-0,11647	21,053
1387	-16,801	8,247	-0,11647	20,758
1387	-16,801	8,247	-0,11647	20,758
1388	2,5299	33,393	-0,11647	30,019
1388	2,5299	33,393	-0,11647	30,019
1389	13,364	-3,9998	-0,11647	18,845
1389	13,364	-3,9998	-0,11647	18,845
1390	14,115	-4,1278	-0,11647	19,614
1390	14,115	-4,1278	-0,11647	19,614
1391	16,607	-8,2392	-0,11647	20,797
1391	16,607	-8,2392	-0,11647	20,797
1392	2,0349	5,9688	-0,11647	12,633
1392	2,0349	5,9688	-0,11647	12,633
1393	-4,3241	-5,7579	-0,11647	13,029
1393	-4,3241	-5,7579	-0,11647	13,029
1394	4,7036	-7,8575	-0,11647	12,819
1394	4,7036	-7,8575	-0,11647	12,819
1395	-5,0865	7,6704	-0,11647	12,851
1395	-5,0865	7,6704	-0,11647	12,851
1396	2,0468	-34,159	-0,11647	37,485
1396	2,0468	-34,159	-0,11647	37,485
1397	-16,443	-7,3494	-0,11647	21,165
1397	-16,443	-7,3494	-0,11647	21,165
1398	-16,28	7,0435	-0,11647	20,904
1398	-16,28	7,0435	-0,11647	20,904
1399	-1,1097	33,531	-0,11647	30,196
1399	-1,1097	33,531	-0,11647	30,196
1400	1,3332	33,514	-0,11647	30,177
1400	1,3332	33,514	-0,11647	30,177
1401	9,6078	7,1268	-0,11647	14,818
1401	9,6078	7,1268	-0,11647	14,818
1402	12,89	4,4364	-0,11647	17,976
1402	12,89	4,4364	-0,11647	17,976
1403	-10,304	-6,6252	-0,11647	15,451
1403	-10,304	-6,6252	-0,11647	15,451
1404	-3,6265	-4,8068	-0,11647	13,087
1404	-3,6265	-4,8068	-0,11647	13,087
1405	-13,126	4,7203	-0,11647	18,06
1405	-13,126	4,7203	-0,11647	18,06
